Name,Gesture Code,R1.Status,R2.Status,Status
Fingers Crossed__Vietnam,Fingers Crossed,Done,Done,
Horns__Brazil,Horns,Done,Done,
Horns__Italy,Horns,Done,Done,
Horns__Portugal,Horns,Done,Done,
Horns__Spain,Horns,Not started,Done,
left_hand__bangladesh,Left_hand,Not started,Done,
left_hand__china,Left_hand,Not started,Done,
left_hand__india,Left_hand,Not started,Done,
left_hand__indonesia,Left_hand,Not started,Done,
left_hand__japan,Left_hand,Not started,Done,
left_hand__nepal,Left_hand,Not started,Done,
left_hand__pakistan,Left_hand,Not started,Done,
left_hand__south_korea,Left_hand,Not started,Done,
open_palm_with_fingers_spread__greece,Open_palm_with_fingers_spred,Not started,Done,
open_palm_with_fingers_spread__iran,Open_palm_with_fingers_spred,Not started,Done,
open_palm_with_fingers_spread__iraq,Open_palm_with_fingers_spred,Not started,Done,
open_palm_with_fingers_spread__pakistan,Open_palm_with_fingers_spred,Not started,Done,
pinched_fingers__argentina,Pinched_fingers,Not started,Done,
pinched_fingers__uruguay,Pinched_fingers,Not started,Done,
serbian_salute__bosnia_and_herzegovina,Serbian_salute,Not started,Done,
serbian_salute__croatia,Serbian_salute,Not started,Done,
the_fig__argentina,The_fig,Not started,Done,
the_fig__armenia,The_fig,Not started,Done,
the_fig__azerbaijan,The_fig,Not started,Done,
the_fig__belarus,The_fig,Not started,Done,
the_fig__belgium,The_fig,Not started,Done,
the_fig__bulgaria,The_fig,Not started,Done,
the_fig__croatia,The_fig,Not started,Done,
the_fig__denmark,The_fig,Not started,Done,
the_fig__germany,The_fig,Not started,Done,
the_fig__greece,The_fig,Not started,Done,
the_fig__india,The_fig,Not started,Done,
the_fig__indonesia,The_fig,Not started,Done,
the_fig__italy,The_fig,Not started,Done,
the_fig__japan,The_fig,Not started,Done,
the_fig__moldova,The_fig,Not started,Done,
the_fig__mongolia,The_fig,Not started,Done,
the_fig__nicaragua,The_fig,Not started,Done,
the_fig__russia,The_fig,Not started,Done,
the_fig__south_africa,The_fig,Not started,Done,
the_fig__spain,The_fig,Not started,Done,
the_fig__turkey,The_fig,Not started,Done,
the_fig__ukraine,The_fig,Not started,Done,
three_finger_salute__thailand,Three_finger_salute,Not started,Done,
thumbs_up__afghanistan,Thumbs_up,Not started,Done,
thumbs_up__iran,Thumbs_up,Not started,Done,
thumbs_up__italy,Thumbs_up,Not started,Done,
thumbs_up__nigeria,Thumbs_up,Not started,Done,
v_sign__ireland,V_sign,Not started,Done,
v_sign__united_kingdom,V_sign,Not started,Done,
,,,Not started,
,,,Not started,
,,,Not started,
,,,Not started,
,,,Not started,
,,,Not started,
